,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'KDOPS', 'ACACT2r'}",2,1.1404029010009253e-07,0.28312228995591593,0.0,0.034486075949358375
1,"{'KDOPS', 'NDPK6'}",2,0.0,0.2854712083206461,0.0,0.03448607594934172
2,"{'TKT2', 'NDPK6'}",2,0.0,0.2833157630295877,0.0,0.03448607594942188
3,"{'KDOPS', 'DHBD'}",2,3.155946615152061e-10,0.2854712082741092,0.0,0.034486075949337724
4,"{'TKT2', 'ACACT2r'}",2,0.0,0.28100203839573634,0.0,0.034486075949398565
5,"{'DSERDHr', 'NDPK6'}",2,0.0,0.2854712083206338,0.0,0.03448607594935271
6,"{'NDPK6', 'DSERDHr', 'TKT2', 'ACACT2r'}",4,6.264031071623322e-09,0.2810020380970977,0.0,0.03448607594940101
7,"{'GMHEPAT', 'KDOPS', 'TKT2', 'GNP'}",4,2.4014070731936954e-09,0.2833157630075419,0.0,0.034486075949423656
8,"{'DSERDHr', 'G1PTT', 'MTAN', 'ACACT2r'}",4,2.203705662395805e-09,0.28312229013907936,0.0,0.03448607594935316
9,"{'KDOPS', 'DSERDHr', 'MTAN', 'DHBD'}",4,7.881737928983057e-08,0.2854712083206239,0.0,0.0344860759493093
